url,price,title
https://www.olx.com.pk/item/brand-new-hp-pavilion-11x-360-use-it-as-a-tablet-or-laptop-with-sim-o-IDUYOLd.html,"Rs 25,999",Brand New Hp Pavilion 11x 360 use it as a Tablet or Laptop with Sim O
https://www.olx.com.pk/item/hp-desktop-machines-i5-2nd-gen-4gb-ram-computer-world-IDUNGaM.html,"Rs 12,500",Hp Desktop Machines i5 2nd Gen 4GB Ram Computer World
https://www.olx.com.pk/item/exchange-with-aseel-murgi-ya-murga-ya-desi-murgia-IDUYUZh.html,"Rs 1,500",Exchange With Aseel Murgi ? ya Murga ? Ya Desi Murgia
https://www.olx.com.pk/item/hp-probook-core-i5-4th-generation-slim-smart-available-only-in-29999-IDUYueP.html,"Rs 30,500",HP ProBook Core i5 4th Generation Slim & Smart Available only in 29999
https://www.olx.com.pk/item/powercolor-turboduo-radeon-r9-280-oc-3gb-384-bit-gddr5-graphic-card-IDUFbBR.html,"Rs 15,000",PowerColor TurboDuo Radeon R9 280 OC 3GB 384-Bit GDDR5 Graphic Card
https://www.olx.com.pk/item/hp-core-2-do-laptop-best-quailty-good-perfomance-plug-and-play-IDUYW1a.html,"Rs 8,500",HP core 2 do laptop best quailty Good Perfomance plug and play
https://www.olx.com.pk/item/scientific-and-financial-calculator-IDUYUZt.html,"Rs 1,000",Scientific and financial calculator
https://www.olx.com.pk/item/short-throw-full-cinema-toshiba-tdp-ew25-projector-rarely-used-IDUHeyS.html,"Rs 23,500",Short Throw Full Cinema Toshiba TDP-EW25 Projector rarely used
https://www.olx.com.pk/item/dell-latitude-e4300-IDUYW2u.html,"Rs 10,999",Dell Latitude E4300
https://www.olx.com.pk/item/xiaomi-mouse-pad-digital-life-IDUSDkI.html,Rs 350,Xiaomi Mouse Pad (Digital Life)
https://www.olx.com.pk/item/hp-mini-notebook-IDUYW3Q.html,"Rs 6,500",Hp Mini Notebook
https://www.olx.com.pk/item/best-offers-core-i7-dell-xps-pc-computer-world-IDUM2oK.html,"Rs 17,000",Best Offers Core i7 Dell Xps Pc Computer World
